Pd,Tin,RHin,Tout,RHout,Pa,Ws,Wd,SR,Td,RHd,NVR
0.22,23.6,39,27.5,53.1,997.1,2.3,266.0,0.07,-3.9,-14.1,21.531999999999996
0.22,23.5,39,27.5,53.5,997.1,2.8,262.6,0.06,-4.0,-14.5,24.482
0.22,23.5,39,27.5,53.0,997.1,2.6,235.5,0.07,-4.0,-14.0,5.899
0.22,23.6,39,27.4,52.0,997.1,1.6,199.7,0.05,-3.8,-13.0,11.208
0.22,23.6,39,27.5,53.4,997.1,1.3,186.8,0.08,-3.9,-14.4,25.662
0.22,23.5,39,27.6,53.0,997.1,1.2,198.2,0.06,-4.1,-14.0,7.079
0.21,23.5,39,27.6,53.1,997.1,1.2,179.2,0.07,-4.1,-14.1,10.619000000000002
0.21,23.5,39,27.7,53.0,997.1,0.2,186.0,0.07,-4.2,-14.0,7.079
0.21,23.5,39,27.7,53.2,997.1,0.6,279.0,0.06,-4.2,-14.2,14.158
0.21,23.5,39,27.8,52.8,997.1,1.2,264.5,0.07,-4.3,-13.8,17.993
0.21,23.5,39,27.9,52.8,997.1,1.9,205.9,0.06,-4.4,-13.8,23.006999999999998
0.21,23.5,39,27.9,52.4,997.0,1.8,193.3,0.07,-4.4,-13.4,10.619000000000002
0.21,23.5,39,27.9,51.8,997.1,2.9,199.0,0.04,-4.4,-12.8,16.813
0.2,23.5,39,27.8,51.4,997.1,1.5,210.5,0.05,-4.3,-12.4,8.554
0.21,23.5,39,27.7,51.0,997.0,1.7,178.0,0.04,-4.2,-12.0,12.093
0.21,23.5,39,27.6,51.3,997.0,1.3,187.9,0.06,-4.1,-12.3,10.619000000000002
0.22,23.4,39,27.5,51.6,997.0,1.4,181.9,0.06,-4.1,-12.6,11.503
0.21,23.4,39,27.5,52.2,997.0,1.9,264.8,0.05,-4.1,-13.2,7.374
0.21,23.4,39,27.5,52.2,996.9,2.4,217.4,0.08,-4.1,-13.2,9.144
0.21,23.5,39,27.6,52.9,996.9,1.4,241.5,0.06,-4.1,-13.9,7.669
0.21,23.5,39,27.6,53.0,996.9,2.2,292.2,0.06,-4.1,-14.0,6.784
0.21,23.5,39,27.8,53.4,996.9,3.1,307.1,0.05,-4.3,-14.4,13.863
0.2,23.6,37,27.8,52.6,996.8,1.1,278.0,0.07,-4.2,-15.6,12.388
0.21,23.6,37,27.9,53.3,996.8,1.3,280.6,0.06,-4.3,-16.3,25.662
0.2,23.7,38,27.9,52.8,996.8,1.7,292.1,0.06,-4.2,-14.8,10.914000000000001
0.21,23.6,38,27.9,52.7,996.8,1.5,302.9,0.06,-4.3,-14.7,9.144
0.21,23.6,38,27.8,51.8,996.8,1.8,296.2,0.06,-4.2,-13.8,18.877
0.2,23.7,38,27.8,53.2,996.8,1.5,321.4,0.06,-4.1,-15.2,14.748
0.2,23.7,38,27.8,52.8,996.8,2.7,278.7,0.05,-4.1,-14.8,20.352
0.21,23.6,38,27.8,52.7,996.8,3.2,274.5,0.07,-4.2,-14.7,15.043
0.21,23.6,38,27.9,51.9,996.8,2.4,287.7,0.06,-4.3,-13.9,20.352
0.2,23.7,38,27.8,50.6,996.9,1.5,310.7,0.06,-4.1,-12.6,11.503
0.2,23.6,39,27.8,51.2,996.8,1.6,275.6,0.05,-4.2,-12.2,10.029
0.2,23.7,39,27.8,51.1,996.8,1.8,302.0,0.06,-4.1,-12.1,9.144
0.2,23.7,39,27.8,51.5,996.8,1.4,335.1,0.06,-4.1,-12.5,11.503
0.2,23.7,39,27.7,51.6,996.8,2.1,263.0,0.05,-4.0,-12.6,9.144
0.2,23.6,39,27.8,52.1,996.8,3.2,269.5,0.07,-4.2,-13.1,7.669
0.2,23.6,39,27.8,51.2,996.8,3.6,272.8,0.06,-4.2,-12.2,8.554
0.2,23.6,39,27.7,51.3,996.8,3.2,272.1,0.06,-4.1,-12.3,16.813
0.2,23.5,39,27.8,51.5,996.8,2.5,284.1,0.05,-4.3,-12.5,15.633
0.21,23.5,39,27.8,50.8,996.8,1.2,254.4,0.06,-4.3,-11.8,12.388
0.21,23.6,39,27.9,51.3,996.8,1.1,252.7,0.06,-4.3,-12.3,21.531999999999996
0.21,23.6,39,28.0,50.6,996.8,1.0,233.3,0.06,-4.4,-11.6,21.531999999999996
0.21,23.5,39,28.1,50.4,996.8,1.0,340.2,0.06,-4.6,-11.4,13.863
0.21,23.5,39,28.1,51.4,996.8,1.0,256.8,0.06,-4.6,-12.4,25.662
0.22,23.5,39,28.1,51.9,996.8,1.4,276.9,0.05,-4.6,-12.9,31.855999999999998
0.21,23.5,39,28.1,51.1,996.8,1.6,271.8,0.06,-4.6,-12.1,12.978
0.24,23.5,39,28.2,51.3,996.8,2.4,234.6,0.06,-4.7,-12.3,21.531999999999996
0.22,23.5,39,28.3,50.3,996.8,1.8,264.3,0.06,-4.8,-11.3,5.309
0.21,23.5,39,28.3,49.3,996.8,1.7,297.0,0.06,-4.8,-10.3,17.698
0.22,23.5,39,28.3,49.8,996.7,2.5,305.3,0.05,-4.8,-10.8,16.518
0.21,23.5,39,28.3,49.1,996.7,1.7,305.2,0.06,-4.8,-10.1,23.302
